Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,PARweatherstation,Weight ,"Wetness (LGR S/N: 21432090, SEN S/N: 21367120) - weather station","Temperature (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Relative Humidity (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Wind Speed (LGR S/N: 21432090, SEN S/N: 21435605) - weather station",Cumulative seconds
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,umol m2 s-1,g,%,°C,%,m/s,s
1/22/2023,10:22:57,MP_010,2,8,AFF2FF041FF-------------------,,447.3963,447.3594,-0.8015731,-19.21765,8308.42,8308.033,1492.613,1895.508,1249.8,98.859,1415,1319,3.8,3.61,3.65,2.51,503.3,0.2,3,87.14,0.634954,-0.7183939,-883.8522,28.49815,479.7181,428.91,8710.9,768.7,90.21,67.06,3.258,85.339,8.05,1439760
1/22/2023,17:28:52,MP_010,2,8,AFF2FF041FF-------------------,,448.8862,448.9342,0.0933015,0.09344165,8253.654,8250.095,-496.8869,2162.011,1249.76,99.161,1483,1365,4.42,4.25,4.07,3.4,252.9,0.4,3,88.03,4.199543,-2.587647,-1622.919,-1.885721,448.9778,448.98,10909,556.2,82.51,71.76,3.528,81.247,6.04,1465315
1/24/2023,18:51:32,MP_010,2,8,AFF2FF041FF-------------------,,448.0862,448.0471,0.2850871,-13.24502,9898.885,9902.562,-149.4931,1232.11,1249.8,98.418,1661,1492,4.37,4.22,4.21,3.96,109,0.2,3,89.09,2.183042,-2.921469,-747.2412,20.18883,478.7431,434.51,11284.2,193.7,105.42,68.82,2.955,98.532,3.52,1643075
1/27/2023,10:30:19,MP_010,2,8,AFF2FF041FF-------------------,,445.131,445.1173,0.1209075,-36.35751,8864.271,8856.872,-53.16553,2291.522,1249.79,97.987,1719,1535,5.14,4.54,3.44,3.05,1418.1,1,3,85.69,3.704442,-2.612309,-1418.072,55.47385,471.4927,408.67,11201.6,1831.2,110.63,4.71,3.684,85.245,5.03,1872202
1/27/2023,14:49:40,MP_010,2,8,AFF2FF041FF-------------------,,444.7359,444.7174,-0.555249,-25.80509,8784.62,8789.519,2415.186,2869.707,1249.66,98.167,1867,1633,5.91,5.83,6.64,5.59,745.4,0.4,3,89.24,0.71662,0.1659574,4318.096,39.14149,405.2189,419.47,9244,1288.7,104.6,2.94,5.88,71.424,0.5,1887763
1/27/2023,18:10:19,MP_010,2,8,AFF2FF041FF-------------------,,448.0831,448.2277,-0.6720904,-15.25917,8542.999,8537.801,2569.141,2277.195,1249.78,98.297,1676,1505,4.15,4.41,4.18,3.14,260,0.2,3,88,-0.4598772,0.2703991,-1700.735,22.98769,454.5486,433.65,8245.9,451.2,100.11,2.94,4.239,81.053,0.5,1899802
1/30/2023,11:54:25,MP_010,2,8,AFF2FF041FF-------------------,,446.557,446.6698,-0.5473689,-33.58497,9428.001,9430.281,1411.542,1909.363,1249.81,97.723,1780,1573,5.23,4.94,4.54,5.15,576.5,0.3,3,89.3,0.7855259,-1.050309,-747.8996,51.28846,521.3687,413.62,9928.1,1006.2,116.45,34.12,3.284,90.074,1.51,2136448
1/30/2023,14:17:10,MP_010,2,8,AFF2FF041FF-------------------,,448.6182,448.3887,-0.6133345,-35.00481,8788.192,8764.077,2399.512,2761.375,1249.61,97.89,1615,1460,5.88,6.52,6.18,4.23,1665.4,0.4,3,87.17,0.5704412,0.7774703,733.7145,53.48384,299.7663,413.91,9125.9,1331.2,113.31,24.12,4.11,82.271,4.03,2145013
2/1/2023,16:26:32,MP_010,2,8,AFF2FF041FF-------------------,,448.2097,448.1689,-0.751586,-22.31475,9133.049,9121.693,1373.733,1521.827,1249.66,98.351,1484,1370,3.75,3.56,3.53,3.02,215,0.2,3,88.83,0.2334986,-1.267968,-184.1518,33.58378,712.1713,426.55,9269.8,383.7,118.6,75.29,3.555,91.507,7.55,2325575
2/2/2023,10:29:27,MP_010,2,8,AFF2FF041FF-------------------,,449.0255,449.1549,0.08255535,-23.9235,9470.037,9476.169,408.2639,542.4326,1249.74,99.324,1370,1284,3.19,3.02,2.9,2.07,200.2,0.2,3,87.87,0.2116295,-1.991969,-106.2414,37.41171,976.7081,425.19,9610.3,408.7,112.12,100,3.016,99.997,2.52,2390550
