Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,PARweatherstation,Weight,"Wetness (LGR S/N: 21432090, SEN S/N: 21367120) - weather station","Temperature (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Relative Humidity (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Wind Speed (LGR S/N: 21432090, SEN S/N: 21435605) - weather station",Cumulative seconds
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,umol m-2 s-1,g,%,oC,%,m/s,s
1/22/2023,10:41:27,MP_010,6,8,AFF2FF041FF-------------------,,446.0863,446.0223,-0.8015731,-2.91868,8590.711,8577.935,1492.613,1696.961,1249.66,98.854,1515,1392,4.32,4.19,4.57,3.15,537.7,0.3,3,84.86,0.3220347,-0.450239,-715.2527,3.164139,451.0866,443.87,8782.3,993.7,15.37,69.41,3.531,85.142,6.04,1438955
1/22/2023,17:54:31,MP_010,6,8,AFF2FF041FF-------------------,,446.9153,446.9774,0.0933015,0.1064019,8443.525,8441.896,-496.8869,634.4692,1249.75,99.2,1566,1429,4.29,4.13,4.09,3.32,283.6,0.1,3,70.51,1.784469,-1.315641,-1356.35,-0.8181284,446.9795,447,9573.3,498.7,14.08,72.94,3.507,82.103,6.04,1464939
1/24/2023,19:17:35,MP_010,12,8,AFF2FF041FF-------------------,,446.3449,446.343,0.2850871,-0.8341717,9819.894,9818.127,-149.4931,967.4818,1249.77,98.384,1703,1521,3.74,3.62,3.72,3.3,105.9,0,3,88.75,1.764237,-2.917542,-604.6996,0.9630057,449.7603,445.24,10935.1,141.2,14.22,97.65,2.77,99.313,1.51,1642723
1/27/2023,11:48:51,MP_010,12,8,AFF2FF041FF-------------------,,441.6458,441.6927,0.1209075,-4.866739,9172.564,9170.972,-53.16553,2593.061,1249.96,98.04,1953,1686,5.24,5.08,3.86,3.78,829.1,0.5,3,86.65,4.184042,-2.903714,-1440.928,5.965714,445.172,436.72,11817.2,1663.7,15.27,3.53,3.545,82.315,4.53,1874999
1/27/2023,14:22:30,MP_010,12,8,AFF2FF041FF-------------------,,444.8615,444.8355,-0.555249,-3.233851,8613.611,8618.74,2415.186,2536.854,1249.74,98.151,1846,1619,4.96,4.88,5.01,3.52,714.9,0.4,3,84.6,0.191742,0.07092249,2703.543,4.099654,439.7367,442.15,8740.4,1066.2,13.82,2.94,5.314,73.565,0.5,1884218
1/27/2023,18:36:46,MP_010,12,8,AFF2FF041FF-------------------,,447.6075,447.6227,-0.6720904,-0.3792243,8717.238,8733.073,2569.141,1973.757,1249.74,98.312,1756,1556,4.32,4.32,4.23,4.06,184.8,0.4,3,88.54,-0.9377225,0.3193397,-2936.442,-0.03751817,447.6384,447.88,8137.7,318.7,12.97,2.94,3.74,83.383,0.5,1899474
1/30/2023,11:21:57,MP_010,12,8,AFF2FF041FF-------------------,,450.8173,450.9818,-0.5473689,-8.336006,9773.467,9733.933,1411.542,1660.1,1249.7,97.703,1542,1412,6.3,5.99,5.77,4.03,2012.2,0.4,3,84.94,0.3921946,-0.4280726,-916.187,11.99299,463.9481,443.22,9982.5,2233.7,15.02,31.76,3.941,95.293,1.51,2132585
1/30/2023,13:57:07,MP_010,12,8,AFF2FF041FF-------------------,,449.037,449.1121,-0.6133345,-3.229745,8695.044,8689.64,2399.512,2335.779,1249.7,97.849,1573,1433,5.46,5.24,5.18,3.6,1701.8,0.4,3,83.98,-0.1004254,0.4421143,-227.1479,4.131982,474.5498,446.49,8625.9,1803.7,13.98,25.88,3.99,83.223,6.04,2141895
2/1/2023,15:13:09,MP_010,12,8,AFF2FF041FF-------------------,,451.5927,451.7832,-0.751586,-3.0447,8775.986,8772.398,1373.733,1401.902,1249.73,98.258,1287,1223,3.58,3.38,3.43,2.9,161.4,0.2,3,88.57,0.04439503,-0.8895261,-49.90863,3.562248,561.5711,449.52,8800.6,256.2,16.2,72.94,3.51,91.736,8.05,2319257
2/2/2023,11:25:49,MP_010,12,8,AFF2FF041FF-------------------,,446.1973,446.2246,0.08255535,-4.670448,9834.67,9829.629,408.2639,593.733,1249.78,99.328,1627,1469,3.59,3.51,3.47,2.95,436.3,0.2,3,87.48,0.292674,-2.129372,-137.4462,7.29602,525.9077,441.49,10015.1,721.2,14.46,100,2.845,99.997,3.02,2392017
