Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,PARweatherstation,Weight ,"Wetness (LGR S/N: 21432090, SEN S/N: 21367120) - weather station","Temperature (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Relative Humidity (LGR S/N: 21432090, SEN S/N: 21420856) - weather station","Wind Speed (LGR S/N: 21432090, SEN S/N: 21435605) - weather station",Cumulative seconds
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,umol m-2 s-1,g,%,oC,%,m/s,s
1/22/2023,10:27:11,MP_010,3,8,AFF2FF041FF-------------------,,446.9599,447.0053,-0.8015731,-3.877985,8349.003,8344.416,1492.613,1873.962,1249.65,98.856,1437,1334,4.2,4.09,3.71,3.61,465.5,0.5,3,88.41,0.6009328,-0.4546792,-1321.663,4.538769,449.5999,443.93,8725.8,803.7,17.77,67.65,3.234,85.452,7.55,1439331
1/22/2023,17:36:25,MP_010,3,8,AFF2FF041FF-------------------,,447.6043,447.5485,0.0933015,-0.09652658,8253.528,8248.638,-496.8869,909.2311,1249.71,99.161,1507,1383,3.71,3.59,3.61,2.79,173.7,0.3,3,75.13,2.217964,-1.704791,-1301.018,-0.695777,447.7549,447.4,9654.8,338.7,14.79,76.47,3.386,81.92,6.54,1465085
1/24/2023,19:04:18,MP_010,3,8,AFF2FF041FF-------------------,,446.2245,446.4051,0.2850871,-3.177417,9912.261,9916.77,-149.4931,1034.138,1249.76,98.42,1687,1510,4.09,3.94,4.04,3.71,89.6,0.1,3,88.99,1.869816,-2.906128,-643.4045,4.580811,456.1235,442.98,11100.4,143.7,22.68,88.82,2.826,99.002,2.01,1643158
1/27/2023,11:02:15,MP_010,3,8,AFF2FF041FF-------------------,,443.8747,443.8126,0.1209075,-20.88249,9039.427,9022.792,-53.16553,2598.861,1249.7,97.993,1855,1624,5.48,5.57,5.13,3.61,1139.4,0.1,3,86.62,4.191742,-2.444681,-1714.637,31.03777,452.6996,422.79,11674.8,1881.2,23.28,4.71,3.563,85.982,4.03,1873435
1/27/2023,14:02:32,MP_010,3,8,AFF2FF041FF-------------------,,445.3132,445.3235,-0.555249,-4.671437,8616.856,8585.091,2415.186,2928.951,1249.75,98.147,1804,1591,5.01,4.98,4.79,3.56,652.4,0.1,3,86.36,0.8099644,-0.2275256,-3559.882,6.072885,444.0175,441.2,9098.9,1003.7,18.65,2.94,4.499,76.034,0.5,1884252
1/27/2023,18:16:19,MP_010,3,8,AFF2FF041FF-------------------,,448.5482,448.4564,-0.6720904,-0.3447195,8589.407,8587.725,2569.141,2441.125,1249.76,98.297,1703,1522,4.74,4.6,4.21,3.91,283,0.8,3,88.34,-0.2016942,0.1692373,-1191.784,-0.4209062,448.0968,448.77,8459.7,443.7,16.79,2.94,4.258,81.025,0,1899479
1/30/2023,11:26:29,MP_010,3,8,AFF2FF041FF-------------------,,448.2481,448.6196,-0.5473689,-12.7098,9882.231,9901.361,1411.542,1246.665,1249.81,97.708,1606,1458,5,4.8,5.51,3.75,333.1,0.1,3,86.55,-0.2601135,-0.9431399,275.7953,19.11446,328.9935,436.55,9736.5,1553.7,25.35,34.71,4.74,93.977,1.51,2134089
1/30/2023,13:33:38,MP_010,3,8,AFF2FF041FF-------------------,,449.375,449.7067,-0.6133345,-21.08301,8865.217,8868.88,2399.512,2111.487,1249.66,97.812,1589,1445,5.24,5.24,5.06,3.27,1612.3,0.5,3,85.48,-0.4538125,0.4883624,-929.2536,32.17007,482.9525,429.29,8580.9,1788.7,23.01,26.47,4.019,83.644,5.54,2141718
2/1/2023,15:43:45,MP_010,3,8,AFF2FF041FF-------------------,,449.0278,449.0542,-0.751586,-10.41771,9031.198,9029.533,1373.733,1479.364,1249.78,98.301,1413,1317,3.61,3.42,3.44,3.1,190.7,0.2,3,88.96,0.166541,-1.207043,-137.9744,15.02752,610.2944,439.4,9135.2,321.2,24.67,76.47,3.499,92.375,8.05,2322325
2/2/2023,11:10:57,MP_010,3,8,AFF2FF041FF-------------------,,445.4397,445.6115,0.08255535,-17.00567,9751.693,9753.092,408.2639,670.7687,1249.66,99.323,1579,1436,3.56,3.44,3.63,2.47,342.2,0.3,3,88.65,0.414201,-2.167937,-191.0576,26.51558,646.9044,428.58,10015.6,613.7,21.11,100,2.856,99.997,3.02,2392357
