Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,Red x T,Green x T,Blue x T,White x T,RGBW x T,PAR_LP
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,arb. unit,arb. unit,arb. unit,arb. unit,arb. unit,µmol m-2 s-1
3/4/2024,9:19:49,ZPc010,0,0,AFC2FF041FF----------1FF------,,472.631,472.3604,-0.1406177,-0.1406177,8922.936,8900.495,370.5457,370.5457,1208.68,99.836,2096,1703,9.99,10.02,17.61,9.11,7.5,0.2,4,44.28,,,,,,472.18,9268,0,0,0,0,0,0
3/4/2024,9:47:09,MP_010,1,69.472,AFC2FF041FF----------1FF------,,471.7864,471.4543,-0.1406177,2.481586,10087.72,10066.65,370.5457,5885.214,1190.08,99.831,2242,1794,9.99,9.92,18.14,9.11,0.1,0.5,4,87.56,0.9596345,-3.40129,-282.1384,-0.9041075,471.5597,474.05,15581.3,0,0,0,0,0,0
3/4/2024,10:18:19,MP_010,1,69.472,AFC2FF041FF----------1FF------,,471.0271,471.4498,-0.1406177,-19.0013,11111.61,11092.25,370.5457,5404.897,1186.46,99.822,2332,1845,9.99,9.89,17.66,8.85,531.2,0.2,4,87.64,0.8738716,-3.979117,-219.6144,2.825525,475.5917,452.64,16126.6,34.56,32,52.16,41.28,160,0
3/4/2024,10:38:53,MP_010,1,69.472,AFC2FF041FF----------1FF------,,468.0993,467.8234,-0.1406177,3.428603,11581.24,11577.31,370.5457,5112.634,1182.36,99.838,2373,1863,10,9.94,20.05,9.06,0.1,0.2,4,87.38,0.8204562,-4.135591,-198.3891,-0.9942005,466.5879,471.38,16319.4,0,0,0,0,0,0
3/4/2024,10:53:03,MP_010,1,69.472,AFC2FF041FF----------1FF------,,465.9005,466.451,-0.1406177,-20.76901,11637.43,11636.98,370.5457,5175.703,1182.71,99.838,2388,1869,9.99,9.89,17.81,8.77,530,0.7,4,87.35,0.8317183,-4.301855,-193.3394,3.140945,474.3614,445.93,16442.1,35.64,33,53.79,42.57,165,0
3/4/2024,11:31:00,MP_010,1,69.472,AFC2FF041FF----------1FF------,,469.6395,470.1817,-0.1406177,2.132867,11924.45,11923.92,370.5457,5094.983,1178.04,99.799,2414,1886,10,9.98,19.73,9.04,0.3,0.5,4,86.68,0.8146884,-4.431934,-183.8223,-0.7705051,469.277,472.56,16648.4,0,0,0,0,0,0
3/4/2024,11:47:14,MP_010,1,69.472,AFC2FF041FF----------1FF------,,468.4504,468.3491,-0.1406177,-15.34805,11887.83,11888.46,370.5457,5221.946,1183.29,99.786,2418,1888,10,9.94,17.54,8.78,540.7,0.3,4,87.3,0.8403883,-4.556659,-184.4308,2.209435,475.0974,453.11,16739.9,37.8,35,57.05,45.15,175,0
3/4/2024,12:14:23,MP_010,1,69.472,AFC2FF041FF----------1FF------,,466.1991,466.3661,-0.1406177,1.83913,12044.48,12044.72,370.5457,5224.12,1185.83,99.781,2421,1890,10,9.92,17.39,9.09,0.4,0.2,4,87.4,0.8427057,-4.733799,-178.0189,-0.7326416,465.4178,468.39,16898.3,0,0,0,0,0,0
3/4/2024,12:33:29,MP_010,1,69.472,AFC2FF041FF----------1FF------,,465.8421,465.5473,-0.1406177,-11.04022,11903.52,11909.44,370.5457,5287.493,1186.38,99.775,2418,1889,9.99,9.89,16.99,8.82,515.2,0.3,4,87.14,0.8540424,-4.684805,-182.3005,1.473079,470.5964,454.61,16826.4,37.8,35,57.05,45.15,175,0
3/4/2024,13:08:03,ZPc010,0,0,AFC2FF041FF----------1FF------,,466.9894,466.7597,-2.191299,-2.191299,11706.39,11709.36,5472.94,5472.94,1191.37,99.746,2413,1887,10,9.99,16.79,9.16,4.6,0.2,4,87.25,,,,,,464.67,16812.2,0,0,0,0,0,0
3/4/2024,13:21:42,MP_010,1,69.472,AFC2FF041FF----------1FF------,,467.2688,467.3961,-2.191299,1.101084,11720.99,11718.46,5472.94,5437.361,1187.05,99.731,2413,1887,10,9.94,17.45,9.12,0.2,0.1,4,86.86,-6.15E-03,0.5800651,-10.60428,-0.5596654,388.0089,470.73,11682.9,0,0,0,0,0,0
3/4/2024,13:35:47,MP_010,1,69.472,AFC2FF041FF----------1FF------,,466.0648,465.9575,-2.191299,-5.68679,11649.51,11652.57,5472.94,5463.335,1186.74,99.716,2413,1886,9.99,9.89,17.08,8.82,540.9,0.3,4,86.88,-1.66E-03,0.580786,-2.858474,0.5978772,788.1624,462.44,11643,35.64,33,53.79,42.57,165,0
3/4/2024,14:05:57,MP_010,1,69.472,AFC2FF041FF----------1FF------,,466.8198,467.0538,-2.191299,0.7556525,11760.63,11755.94,5472.94,5257.981,1180.82,99.652,2413,1887,10.01,9.98,19.93,8.96,0.2,0.4,4,85.82,-3.70E-02,0.7668039,-48.20438,-0.4835221,453.8096,470.01,11541,0,0,0,0,0,0
3/4/2024,14:16:05,MP_010,1,69.472,AFC2FF041FF----------1FF------,,466.2813,466.7087,-2.191299,-4.872629,11740.16,11743.23,5472.94,5302.203,1185.73,99.658,2414,1886,9.96,9.91,17.18,8.77,542.1,0.5,4,86.36,-2.95E-02,0.6758903,-43.61952,0.4713247,480.4484,464.09,11572.5,33.48,31,50.53,39.99,155,0
