Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,Red x T,Green x T,Blue x T,White x T,RGBW x T,PAR_LP
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,arb. unit,arb. unit,arb. unit,arb. unit,arb. unit,µmol m-2 s-1
3/5/2024,9:18:05,ZPc010,0,0,AFC2FF041FF----------1FF------,,480.3137,479.7281,-0.3371292,-0.3371292,10677.37,10662.48,596.7789,596.7789,1148.18,100.086,2353,1853,24.99,24.9,16.34,24.76,6.8,0.2,4,18.77,,,,,,479.32,11257.4,0,0,0,0,0,0
3/5/2024,10:08:13,MP_010,1,69.472,AFC2FF041FF----------1FF------,,476.322,476.3047,-0.3371292,15.73307,11482.84,11475.23,596.7789,13132.08,1133.55,100.137,2378,1864,24.98,24.93,18.62,24.83,0.2,0.1,4,86.91,2.095659,7.69891,272.202,-3.653894,507.2777,492.34,24010.5,0,0,0,0,0,0
3/5/2024,10:21:52,MP_010,1,69.472,AFC2FF041FF----------1FF------,,474.7142,475.0026,-0.3371292,-8.156005,11552.09,11550.72,596.7789,13622.63,1128.91,100.142,2384,1867,24.99,24.93,16.89,24.54,525.6,0,4,90.7,2.170013,7.117162,304.8987,0.2567475,460.7252,467.19,24576.6,37.8,35,57.05,45.15,175,0
3/5/2024,10:56:43,MP_010,1,69.472,AFC2FF041FF----------1FF------,,470.9839,471.0881,-0.3371292,12.38334,11822.73,11818.15,596.7789,14316.3,1142.06,100.179,2398,1875,24.98,24.91,18.58,24.95,0.2,0.2,4,83.17,2.314478,6.080605,380.6329,-3.210903,492.3399,483.81,25537.7,0,0,0,0,0,0
3/5/2024,11:10:22,MP_010,1,69.472,AFC2FF041FF----------1FF------,,470.5715,470.6667,-0.3371292,-13.54732,11794.03,11794.79,596.7789,14413.11,1133.45,100.2,2401,1875,24.98,24.91,17.48,24.51,528.7,0.2,4,90.18,2.313412,5.998428,385.6697,1.097023,448.7627,457.44,25611.1,41.04,38,61.94,49.02,190,0
