Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,Red x T,Green x T,Blue x T,White x T,RGBW x T,PAR_LP
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,arb. unit,arb. unit,arb. unit,arb. unit,arb. unit,µmol m-2 s-1
3/1/2024,9:19:17,ZPc010,0,0,AFC2FF041FF----------1FF------,,503.2267,502.8837,-0.459359,-0.459359,12653.35,12642.34,285.5659,285.5659,1165.77,98.354,2442,1898,9.96,10.06,17.96,8.95,7.8,0.2,4,58.29,,,,,,502.38,12926.4,0,0,0,0,0,0
3/1/2024,9:55:57,MP_010,1,69.472,AFC2FF041FF----------1FF------,,486.2509,486.5225,-0.459359,4.201573,13012.39,13007.08,285.5659,4402.413,1152.66,98.368,2445,1899,10,9.98,23.14,9.01,0.3,0.6,4,92.41,0.6949562,-4.734783,-146.7768,-1.114705,482.9703,491.22,17123.9,0,0,0,0,0,0
3/1/2024,10:19:58,MP_010,1,69.472,AFC2FF041FF----------1FF------,,491.9582,492.2853,-0.459359,-12.56863,13269.46,13259.55,285.5659,4333.294,1162.02,98.371,2448,1902,9.99,9.9,18.85,8.8,530.9,0.3,4,93.42,0.6889653,-4.9892,-138.0913,1.694617,503.1606,480.19,17307.3,34.56,32,52.16,41.28,160,0
3/1/2024,10:56:07,MP_010,1,69.472,AFC2FF041FF----------1FF------,,483.5374,483.1826,-0.459359,4.020679,13205.42,13214.89,285.5659,4326.093,1151.94,98.357,2457,1905,9.99,9.96,21.97,8.89,0.2,0.6,4,92.72,0.6817377,-4.88406,-139.5842,-1.075253,479.2461,487.58,17255.4,0,0,0,0,0,0
3/1/2024,11:32:10,MP_010,1,69.472,AFC2FF041FF----------1FF------,,484.6642,484.2086,-0.459359,-16.89891,12826.32,12829.73,285.5659,4830.347,1162.41,98.343,2448,1902,9.99,9.9,18.28,8.78,529.3,0.3,4,93.09,0.7738816,-5.054047,-153.1212,2.388755,495.8048,467.67,17374.5,36.72,34,55.42,43.86,170,0
3/1/2024,11:50:57,ZPc010,0,0,AFC2FF041FF----------1FF------,,485.9438,485.688,-2.425139,-2.425139,12800.9,12795.13,4796.094,4796.094,1168.89,98.347,2447,1903,9.98,10,17.96,9.09,4.1,0.4,4,92.8,,,,,,483.68,17304.8,0,0,0,0,0,0
3/1/2024,12:10:53,MP_010,1,69.472,AFC2FF041FF----------1FF------,,483.7269,483.709,-2.425139,3.821224,12912.83,12914.83,4796.094,4703.284,1157.19,98.333,2444,1899,10.01,9.94,20.96,9.07,0.2,0.6,4,92.98,-1.57E-02,-0.3967831,39.46786,-1.032779,531.1274,489.99,12822,0,0,0,0,0,0
3/1/2024,12:32:12,MP_010,1,69.472,AFC2FF041FF----------1FF------,,485.0641,484.7675,-2.425139,-19.08759,12719.73,12722.79,4796.094,4927.166,1162.92,98.33,2439,1899,9.99,9.91,17.99,8.84,541.4,0.3,4,93.01,2.22E-02,-0.4539449,-48.96244,2.778792,556.9485,468.05,12853.9,35.64,33,53.79,42.57,165,0
3/1/2024,13:08:25,MP_010,1,69.472,AFC2FF041FF----------1FF------,,484.5273,484.4519,-2.425139,3.497639,12896.79,12896.13,4796.094,4657.727,1162.37,98.308,2438,1898,10,9.93,20.9,9.12,0.3,0.5,4,93.01,-2.35E-02,-0.3369298,69.59925,-0.97947,512.5775,490.36,12757.8,0,0,0,0,0,0
