Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,Red x T,Green x T,Blue x T,White x T,RGBW x T,PAR_LP
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,arb. unit,arb. unit,arb. unit,arb. unit,arb. unit,µmol m-2 s-1
2/26/2024,9:21:03,ZPc010,0,0,AFC2FF041FF----------1FF------,,483.5079,483.5355,-2.020229,-2.020229,10075.52,10051.5,-563.2427,-563.2427,1252.67,100.826,1854,1566,4.79,4.96,17.49,3.51,10,0.7,4,71.57,,,,,,481.51,9484.7,0,0,0,0,0,0
2/26/2024,9:38:38,MP_010,1,69.472,AFC2FF041FF----------1FF------,,480.0031,480.4799,-2.020229,5.191583,11052.43,11018.61,-563.2427,448.7045,1249.81,100.84,2031,1671,5.12,5.16,25.55,3.81,0.3,0.6,4,85.69,0.1842674,-3.321497,-55.47721,-1.3873,451.2224,487.8,12030.6,0,0,0,0,0,0
2/26/2024,9:55:28,MP_010,1,69.472,AFC2FF041FF----------1FF------,,481.4224,481.6421,-2.020229,-7.509653,11990.17,11964.18,-563.2427,-31.63806,1249.78,100.861,2147,1741,4.98,5,17.78,3.5,537.5,0.5,4,86.78,9.68E-02,-3.892139,-24.88199,0.9414153,538.2827,476.18,12495.8,39.96,37,60.31,47.73,185,0
2/26/2024,10:25:03,MP_010,1,69.472,AFC2FF041FF----------1FF------,,472.929,472.6366,-2.020229,4.578042,13515.32,13482.28,-563.2427,-598.0509,1223.41,100.894,2276,1819,5.27,5.3,27.38,4.08,0.2,0.3,4,86,-6.21E-03,-4.675059,1.32905,-1.158986,1848.06,479.19,13447.5,0,0,0,0,0,0
2/26/2024,10:39:08,MP_010,1,69.472,AFC2FF041FF----------1FF------,,471.196,471.2703,-2.020229,-10.24513,14057.18,14049.13,-563.2427,-1102.374,1235.06,100.916,2326,1846,4.91,4.91,18,3.5,536.6,0.7,4,87.12,-9.72E-02,-4.979022,19.51356,1.507196,345.699,463.05,13510,35.64,33,53.79,42.57,165,0
2/26/2024,11:01:25,ZPc010,0,0,AFC2FF041FF----------1FF------,,461.9034,461.857,0.3560136,0.3560136,14431.23,14424.41,-1003.597,-1003.597,1238.17,100.931,2365,1862,4.97,5.07,18.02,3.91,7.3,0.2,4,86.36,,,,,,464.23,13983,0,0,0,0,0,0
2/26/2024,11:14:31,MP_010,1,69.472,AFC2FF041FF----------1FF------,,462.2379,462.5321,0.3560136,4.020465,14627.29,14616.95,-1003.597,-999.32,1221.63,100.94,2379,1869,5.14,5.12,25.29,4.01,0.4,0.6,4,85.9,7.63E-04,-5.980406,-0.1276351,-0.6447312,-7446.395,466.29,14621.2,0,0,0,0,0,0
2/26/2024,11:33:55,MP_010,1,69.472,AFC2FF041FF----------1FF------,,462.8839,462.7668,0.3560136,-14.53078,14737.67,14734.13,-1003.597,-1036.665,1233.79,100.956,2395,1879,4.97,4.94,18,3.54,507,0.5,4,87.01,-5.96E-03,-6.172402,0.9656547,2.646494,-3843.859,447.86,14701.1,45.36,42,68.46,54.18,210,0
2/26/2024,11:56:22,MP_010,1,69.472,AFC2FF041FF----------1FF------,,487.808,487.4044,0.3560136,4.158275,14811.96,14812.01,-1003.597,-1046.263,1143.32,100.967,2403,1884,5.08,5.1,23.62,3.74,0.7,0.5,4,85.72,-7.13E-03,-6.145315,1.159733,-0.6222484,1336.912,491.14,14769.3,0,0,0,0,0,0
