Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,Red x T,Green x T,Blue x T,White x T,RGBW x T,PAR_LP
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,arb. unit,arb. unit,arb. unit,arb. unit,arb. unit,µmol m-2 s-1
2/15/2024,9:43:18,ZPc010,0,0,AFC2FF041FF----------1FF------,,482.613,483.0505,-0.7740065,-0.7740065,10607.85,10548.24,259.7445,259.7445,1195.19,98.987,1993,1650,15,14.97,16.37,14.37,2.9,0.1,4,39.19,,,,,,482.36,10799.9,0,0,0,0,0,0
2/15/2024,9:56:36,MP_010,1,69.472,AFC2FF041FF----------1FF------,,478.207,478.3434,-0.7740065,0.7286139,11663.6,11626.92,259.7445,6808.927,1191.28,98.974,2092,1710,14.99,14.97,18.25,14.37,0.1,0.2,4,79.2,1.143819,-1.006676,-1136.234,-0.8065599,479.526,479.88,18176.1,0,0,0,0,0,0
2/15/2024,10:34:40,MP_010,1,69.472,AFC2FF041FF----------1FF------,,475.6837,475.6129,-0.7740065,-5.047915,13358.88,13338.72,259.7445,7428.639,1182.23,98.963,2259,1811,15,14.98,16.9,13.97,498.9,0.3,4,88,1.245499,-3.370963,-369.4786,0.1402529,474.4189,471.34,20507.6,37.8,35,57.05,45.15,175,0
2/15/2024,11:19:19,MP_010,1,69.472,AFC2FF041FF----------1FF------,,485.1343,484.8635,-0.7740065,0.7662687,14781.47,14762.01,259.7445,5139.623,1181.12,98.968,2346,1852,14.99,14.99,18.96,14.27,0.3,0.1,4,78.97,0.8462692,-2.477113,-341.6353,-0.6734595,485.1619,486.36,19641.9,0,0,0,0,0,0
2/15/2024,11:30:12,MP_010,1,69.472,AFC2FF041FF----------1FF------,,483.6972,483.3661,-0.7740065,-2.196412,14982.1,14973.36,259.7445,6021.021,1180.05,98.961,2357,1858,14.99,14.99,17.27,13.99,527.9,0.1,4,85.07,0.99933,-3.591132,-278.2772,-0.2399077,483.1982,481.84,20734.6,35.64,33,53.79,42.57,165,0
2/15/2024,11:54:45,MP_010,1,69.472,AFC2FF041FF----------1FF------,,481.4219,481.9515,-0.7740065,0.9851549,15562.39,15548.88,259.7445,4605.719,1175.95,98.93,2380,1870,14.99,15,20.26,14.21,0.2,0.4,4,79.02,0.7505742,-2.717165,-276.2343,-0.6608854,482.0948,483.78,19894.9,0,0,0,0,0,0
2/15/2024,12:06:48,MP_010,1,69.472,AFC2FF041FF----------1FF------,,492.0087,491.8742,-0.7740065,-1.533591,15677.49,15669.81,259.7445,5621.35,1175.81,98.92,2388,1874,15,14.97,17.42,13.93,508.9,0.3,4,85.46,0.9269441,-3.909535,-237.0983,-0.3266444,491.9284,491.08,21031.4,37.8,35,57.05,45.15,175,0
2/15/2024,12:46:33,MP_010,1,69.472,AFC2FF041FF----------1FF------,,492.1081,491.7014,-0.7740065,9.94457,16340.97,16334.52,259.7445,6143.023,1167.32,98.89,2410,1886,15,14.94,21.13,14.24,0.1,0.3,4,89.53,1.011015,-5.150623,-196.2898,-2.308918,487.9988,502.37,22217.8,0,0,0,0,0,0
2/15/2024,13:02:19,MP_010,1,69.472,AFC2FF041FF----------1FF------,,491.4341,491.8902,-0.7740065,-0.7342973,16441.94,16431.73,259.7445,6129.724,1173.71,98.889,2415,1889,15,14.95,17.63,14.28,52.1,0.2,4,90.15,1.014338,-5.225008,-194.1314,-0.5057226,491.9059,491.96,22301.7,3.78,3.5,5.71,4.52,17.5,0
