"","date","time","code","object","area","status","comment","co2abs","co2buf","dco2zp","dco2mp","h2oabs","h2obuf","dh2ozp","dh2omp","flow","pamb","aux1","aux2","tcuv","tleaf","tamb","tmin.max","partop","paramb","inside.fan","rh","e","vpd","gh2o","a","ci","ca","wa","parweatherstation","weight","wetness..lgr.s.n..21432090..sen.s.n..21367120....weather.station","temperature..lgr.s.n..21432090..sen.s.n..21420856....weather.station","relative.humidity..lgr.s.n..21432090..sen.s.n..21420856....weather.station","wind.speed..lgr.s.n..21432090..sen.s.n..21435605....weather.station","cumulative.seconds","wetnessWS","tempWS","windspeedWS","rhWS","cumulativeSeconds","species","aCorrected","dryWeight","basketWeight","saturatedWeight","sampleWeight","waterContent","waterContentmm","relativeWC"
"11","1/18/2023","9:42:59","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,451.7607,451.8987,-0.252425,-1.094435,8913.666,8900.17,114.9929,1500.142,1249.78,98.378,"1294","1229",4.46,4.47,4.27,3.46,371.9,0.2,"3",87.43,2.186399,-1.76107,-1241.518,0.3291098,452.7611,451.11,10285.3,718.7,11.34,"100","4.043","88.864","10.07","1090778",100,4.043,10.07,88.864,1090778,"andreaea",0.379974080327893,1.076,5.619,5.687,5.721,431.691449814126,6.70361230174193,1.00597854756462
"12","1/18/2023","14:45:09","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,449.4835,449.4699,-0.7171336,-1.398422,9193.751,9192.887,1495.79,1537.497,1249.67,98.773,"1452","1346",4.42,4.28,4.2,3.47,166.9,0.3,"3",87.92,0.06575746,-0.8489331,-77.45895,1.034722,470.2611,448.81,9234.6,261.2,10.02,"100","4.014","88.966","4.03","1108908",100,4.014,4.03,88.966,1108908,"andreaea",1.1946394192608,1.076,5.619,5.687,4.401,309.014869888476,4.79860299317372,0.773870230349921
"13","1/19/2023","10:04:44","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,446.1374,446.2387,-0.5987698,-1.118471,9419.041,9414.712,414.6395,1273.162,1249.83,98.696,"1494","1374",4.57,4.72,4.68,3.54,494.4,0.1,"3",86.52,1.355181,-1.626665,-833.1041,0.2078889,447.244,445.72,10273.2,968.7,9.63,"100","4.193","91.528","8.05","1178483",100,4.193,8.05,91.528,1178483,"andreaea",0.240018357362428,1.076,5.619,5.687,4.011,272.769516728625,4.23575933382402,0.705292772991032
"14","1/21/2023","16:05:14","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,444.1397,444.3714,-0.2477597,-0.1057228,9935.748,9933.653,836.6671,729.8658,1249.8,99.276,"1558","1419",4.44,4.68,4.1,3.8,190.3,0.1,"3",88.91,-0.1685068,-1.250801,134.7191,-0.1469846,447.1374,444.57,9826.9,353.7,6.89,"100","3.695","97.839","3.02","1372913",100,3.695,3.02,97.839,1372913,"andreaea",-0.169701231040106,1.076,5.619,5.687,1.271,18.1226765799256,0.281421829674849,0.223492175136276
"15","1/22/2023","10:30:46","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,446.5423,446.6321,-0.8015731,-0.7000586,8373.83,8366.232,1492.613,1883.272,1249.83,98.859,"1454","1345",4.26,4.54,3.97,3.06,647.7,0.2,"3",86.13,0.6157166,-0.2169337,-2838.271,-0.4336922,446.7043,446.79,8756.9,931.2,7.53,"71.18","3.26","85.327","8.05","1439245",71.18,3.26,8.05,85.327,1439245,"andreaea",-0.500719804880865,1.076,5.619,5.687,1.911,77.6022304832714,1.20506270655641,0.336029541058555
"16","1/22/2023","17:43:02","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,447.393,447.3309,0.0933015,-0.1457933,8273.865,8270.167,-496.8869,702.4774,1249.73,99.187,"1527","1397",4.21,4.08,3.92,3.22,266.5,0.3,"3",71.16,1.891507,-1.240883,-1524.323,-0.4721563,447.4652,447.08,9469.5,1336.2,7.09,"75.29","3.427","81.903","6.54","1465181",75.29,3.427,6.54,81.903,1465181,"andreaea",-0.54512857369644,1.076,5.619,5.687,1.471,36.7100371747212,0.570059603700336,0.258660101986988
"17","1/24/2023","19:07:56","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,446.0041,446.0566,0.2850871,-0.546711,9869.028,9879.14,-149.4931,1008.861,1249.78,98.403,"1692","1514",3.99,3.9,3.79,3.62,88.8,0.2,"3",88.93,1.829803,-2.863474,-639.0148,0.4847293,448.4321,445.25,11037.5,143.7,10.76,"88.82","2.826","99.002","2.01","1643075",88.82,2.826,2.01,99.002,1643075,"andreaea",0.559644744627729,1.076,5.619,5.687,5.141,377.788104089219,5.86656275706802,0.903991559697556
"18","1/27/2023","11:18:24","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,443.058,443.1176,0.1209075,-1.427079,8972.586,8979.53,-53.16553,2132.154,1249.86,98.025,"1900","1655",4.69,5.08,4.54,3.19,1642.4,0.2,"3",85.43,3.452718,-2.243479,-1539.001,0.8938465,444.0222,441.57,11164.9,1713.7,10.75,"4.71","3.475","83.139","5.03","1874103",4.71,3.475,5.03,83.139,1874103,"andreaea",1.03199145632189,1.076,5.619,5.687,5.131,376.858736059479,5.85213086836674,0.90223316335502
"19","1/27/2023","14:09:00","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,445.5121,445.7416,-0.555249,-1.639147,8619.631,8628.123,2415.186,2641.925,1249.95,98.149,"1826","1605",5.12,5.2,4.03,4.44,649.5,0.8,"3",88.47,0.3574294,0.1532229,2332.741,1.534584,443.5374,444.67,8854.9,986.2,9.71,"2.94","5.07","74.943","0.5","1884339",2.94,5.07,0.5,74.943,1884339,"andreaea",1.77175563926051,1.076,5.619,5.687,4.091,280.204460966543,4.35121444343421,0.719359943731317
"20","1/27/2023","18:24:31","MP_010","4",6.9291,"AFF2FF041FF-------------------",NA,449.2099,449.2189,-0.6720904,-1.579991,8590.104,8583.216,2569.141,2469.529,1249.74,98.304,"1726","1535",4.38,4.22,4.9,3.68,240.9,0.3,"3",88.28,-0.1569428,-0.08559957,1833.453,1.488657,447.1156,448.32,8483.6,368.7,9,"2.94","3.85","81.984","0.5","1899670",2.94,3.85,0.5,81.984,1899670,"andreaea",1.71873057106984,1.076,5.619,5.687,3.381,214.219330855019,3.32655034564373,0.594513803411289
