Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,Red x T,Green x T,Blue x T,White x T,RGBW x T,PAR_LP
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,arb. unit,arb. unit,arb. unit,arb. unit,arb. unit,µmol m-2 s-1
3/4/2024,9:19:49,ZPc010,0,8,AFC2FF041FF----------1FF------,,472.631,472.3604,-0.1406177,-0.1406177,8922.936,8900.495,370.5457,370.5457,1208.68,99.836,2096,1703,9.99,10.02,17.61,9.11,7.5,0.2,4,44.28,,,,,,472.18,9268,0,0,0,0,0,0
3/4/2024,9:47:09,MP_010,1,8,AFC2FF041FF----------1FF------,,471.7864,471.4543,-0.1406177,2.481586,10087.72,10066.65,370.5457,5885.214,1190.08,99.831,2242,1794,9.99,9.92,18.14,9.11,0.1,0.5,4,87.56,8.333449,-3.404167,-2448.014,-7.85126,471.5583,474.05,15581.3,0,0,0,0,0,0
3/4/2024,10:18:19,MP_010,1,8,AFC2FF041FF----------1FF------,,471.0271,471.4498,-0.1406177,-19.0013,11111.61,11092.25,370.5457,5404.897,1186.46,99.822,2332,1845,9.99,9.89,17.66,8.85,531.2,0.2,4,87.64,7.588712,-3.979993,-1906.715,24.53687,475.6001,452.64,16126.6,34.56,32,52.16,41.28,160,0
3/4/2024,10:38:53,MP_010,1,8,AFC2FF041FF----------1FF------,,468.0993,467.8234,-0.1406177,3.428603,11581.24,11577.31,370.5457,5112.634,1182.36,99.838,2373,1863,10,9.94,20.05,9.06,0.1,0.2,4,87.38,7.124813,-4.135777,-1722.726,-8.633602,466.5878,471.38,16319.4,0,0,0,0,0,0
3/4/2024,10:53:03,MP_010,1,8,AFC2FF041FF----------1FF------,,465.9005,466.451,-0.1406177,-20.76901,11637.43,11636.98,370.5457,5175.703,1182.71,99.838,2388,1869,9.99,9.89,17.81,8.77,530,0.7,4,87.35,7.222626,-4.303687,-1678.242,27.27592,474.373,445.93,16442.1,35.64,33,53.79,42.57,165,0
3/4/2024,11:31:00,MP_010,1,8,AFC2FF041FF----------1FF------,,469.6395,470.1817,-0.1406177,2.132867,11924.45,11923.92,370.5457,5094.983,1178.04,99.799,2414,1886,10,9.98,19.73,9.04,0.3,0.5,4,86.68,7.074754,-4.431031,-1596.638,-6.691031,469.2727,472.56,16648.4,0,0,0,0,0,0
3/4/2024,11:47:14,MP_010,1,8,AFC2FF041FF----------1FF------,,468.4504,468.3491,-0.1406177,-15.34805,11887.83,11888.46,370.5457,5221.946,1183.29,99.786,2418,1888,10,9.94,17.54,8.78,540.7,0.3,4,87.3,7.297943,-4.554733,-1602.277,19.18673,475.093,453.11,16739.9,37.8,35,57.05,45.15,175,0
3/4/2024,12:14:23,MP_010,1,8,AFC2FF041FF----------1FF------,,466.1991,466.3661,-0.1406177,1.83913,12044.48,12044.72,370.5457,5224.12,1185.83,99.781,2421,1890,10,9.92,17.39,9.09,0.4,0.2,4,87.4,7.318074,-4.731185,-1546.774,-6.362274,465.4193,468.39,16898.3,0,0,0,0,0,0
3/4/2024,12:33:29,MP_010,1,8,AFC2FF041FF----------1FF------,,465.8421,465.5473,-0.1406177,-11.04022,11903.52,11909.44,370.5457,5287.493,1186.38,99.775,2418,1889,9.99,9.89,16.99,8.82,515.2,0.3,4,87.14,7.416475,-4.686822,-1582.41,12.79216,470.6046,454.61,16826.4,37.8,35,57.05,45.15,175,0
3/4/2024,13:08:03,ZPc010,0,8,AFC2FF041FF----------1FF------,,466.9894,466.7597,-2.191299,-2.191299,11706.39,11709.36,5472.94,5472.94,1191.37,99.746,2413,1887,10,9.99,16.79,9.16,4.6,0.2,4,87.25,,,,,,464.67,16812.2,0,0,0,0,0,0
3/4/2024,13:21:42,MP_010,1,8,AFC2FF041FF----------1FF------,,467.2688,467.3961,-2.191299,1.101084,11720.99,11718.46,5472.94,5437.361,1187.05,99.731,2413,1887,10,9.94,17.45,9.12,0.2,0.1,4,86.86,-5.34E-02,0.5806569,-91.99378,-4.860138,387.925,470.73,11682.9,0,0,0,0,0,0
3/4/2024,13:35:47,MP_010,1,8,AFC2FF041FF----------1FF------,,466.0648,465.9575,-2.191299,-5.68679,11649.51,11652.57,5472.94,5463.335,1186.74,99.716,2413,1886,9.99,9.89,17.08,8.82,540.9,0.3,4,86.88,-1.44E-02,0.5829226,-24.73192,5.191946,789.3588,462.44,11643,35.64,33,53.79,42.57,165,0
3/4/2024,14:05:57,MP_010,1,8,AFC2FF041FF----------1FF------,,466.8198,467.0538,-2.191299,0.7556525,11760.63,11755.94,5472.94,5257.981,1180.82,99.652,2413,1887,10.01,9.98,19.93,8.96,0.2,0.4,4,85.82,-0.3209904,0.7634844,-420.4283,-4.198918,453.8834,470.01,11541,0,0,0,0,0,0
3/4/2024,14:16:05,MP_010,1,8,AFC2FF041FF----------1FF------,,466.2813,466.7087,-2.191299,-4.872629,11740.16,11743.23,5472.94,5302.203,1185.73,99.658,2414,1886,9.96,9.91,17.18,8.77,542.1,0.5,4,86.36,-0.256023,0.6727225,-380.5774,4.092981,480.3752,464.09,11572.5,33.48,31,50.53,39.99,155,0
3/4/2024,14:47:39,MP_010,1,8,AFC2FF041FF----------1FF------,,467.2681,467.5123,-2.191299,0.6338562,11759.99,11751.89,5472.94,5316.435,1183.88,99.634,2418,1888,10,9.94,19.21,9.09,0.5,0.7,4,85.85,-0.234322,0.6819984,-343.5815,-4.070587,451.3819,470.35,11595.4,0,0,0,0,0,0
3/4/2024,15:03:03,MP_010,1,8,AFC2FF041FF----------1FF------,,470.3763,469.896,-2.191299,-2.918914,11992.63,11937.54,5472.94,5165.2,1183.73,99.628,2419,1889,9.99,9.88,17.48,8.75,511.8,0.5,4,86.13,-0.4607107,0.6005443,-767.1552,1.292748,471.292,469.1,11629.8,34.56,32,52.16,41.28,160,0
3/4/2024,15:34:27,MP_010,1,8,AFC2FF041FF----------1FF------,,468.9968,468.7026,-2.191299,0.4755573,11892.36,11893.93,5472.94,5125.352,1180.5,99.632,2432,1893,10,9.94,20.22,9.02,0.5,0.2,4,85.07,-0.5189001,0.7330133,-707.9,-3.690696,462.6511,471.32,11546.3,0,0,0,0,0,0
3/4/2024,15:42:32,MP_010,1,8,AFC2FF041FF----------1FF------,,469.9304,469.9173,-2.191299,-1.578202,11792.53,11799.67,5472.94,5211.522,1182.57,99.63,2431,1893,9.97,9.88,17.55,8.69,502,0.4,4,85.77,-0.3909435,0.6888475,-567.5327,-0.7223287,468.0693,470.56,11538.3,39.96,37,60.31,47.73,185,0
3/4/2024,16:13:23,MP_010,1,8,AFC2FF041FF----------1FF------,,474.2621,474.2877,-2.191299,0.1931653,11872.32,11866.74,5472.94,5108.643,1182.24,99.607,2433,1895,10.02,9.99,20.6,9.04,0.3,0.3,4,84.7,-0.5446252,0.8170214,-666.5984,-3.264157,468.4409,476.68,11502.4,0,0,0,0,0,0
3/4/2024,16:24:00,MP_010,1,8,AFC2FF041FF----------1FF------,,476.4157,476.491,-2.191299,-1.289012,11834.66,11838.46,5472.94,5190.763,1183.03,99.602,2431,1895,9.98,9.89,17.73,8.72,531.1,0.3,4,85.66,-0.4221565,0.6819936,-619.0036,-1.132744,474.0481,477.41,11556.3,36.72,34,55.42,43.86,170,0
