Date,Time,Code,Object,Area,Status,Comment,CO2abs,CO2buf,dCO2ZP,dCO2MP,H2Oabs,H2Obuf,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Tmin/max,PARtop,PARamb,Inside Fan,rh ,E,VPD,GH2O,A,ci,ca,wa,Red x T,Green x T,Blue x T,White x T,RGBW x T,PAR_LP
yyyy-mm-dd,hh:mm:ss,string,No,cm2,string,,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,µmol/s,kPa,mV,mV,°C,°C,°C,°C,µmol m-2 s-1,µmol m-2 s-1,steps,%,mmol m-2 s-1,Pa/kPa,mmol m-2 s-1,µmol m-2 s-1,ppm,ppm,ppm,arb. unit,arb. unit,arb. unit,arb. unit,arb. unit,µmol m-2 s-1
2/13/2024,9:57:28,ZPc010,0,8,AFC2FF041FF----------1FF------,,471.6258,472.0716,-1.408593,-1.408593,8613.58,8615.156,690.0621,690.0621,1214.68,99.348,1828,1553,14.99,14.98,17.26,14.25,89.5,0.1,4,32.91,,,,,,470.7,9305.5,0,0,0,0,0,0
2/13/2024,10:08:44,MP_010,1,8,AFC2FF041FF----------1FF------,,467.8012,467.9704,-1.408593,8.287526,8831.154,8778.901,690.0621,10405.63,1203.66,99.357,1951,1624,14.99,14.92,19.19,14.35,0.2,0.3,4,87.87,14.89328,-1.453347,-10247.57,-21.70288,475.4632,477.69,18494.5,0,0,0,0,0,0
2/13/2024,10:22:44,MP_010,1,8,AFC2FF041FF----------1FF------,,464.726,464.8453,-1.408593,-19.45006,10544.86,10498.91,690.0621,9496.026,1202.1,99.367,2070,1696,14.99,14.93,17.9,14.06,497.5,0.1,4,89.61,13.4925,-2.267307,-5950.892,21.08149,453.8861,446.77,19304.9,37.8,35,57.05,45.15,175,0
2/13/2024,10:41:03,MP_010,1,8,AFC2FF041FF----------1FF------,,463.2003,463.1046,-1.408593,8.427798,11662.72,11659.67,690.0621,8912.67,1198.76,99.386,2207,1773,14.99,14.98,20.03,14.28,0,0.2,4,89.53,12.57114,-2.805862,-4480.313,-20.68466,467.7881,472.93,19882.3,0,0,0,0,0,0
2/13/2024,10:53:01,MP_010,1,8,AFC2FF041FF----------1FF------,,463.1025,463.1579,-1.408593,-20.90381,11933.7,11920.05,690.0621,8995.371,1195.04,99.388,2266,1808,14.99,14.98,17.85,14.04,505.3,0.2,4,89.43,12.66255,-3.160688,-4006.263,23.50364,455.0585,443.69,20225.4,37.8,35,57.05,45.15,175,0
2/13/2024,11:08:27,MP_010,1,8,AFC2FF041FF----------1FF------,,463.9328,463.8162,-1.408593,8.231508,12314.92,12301.66,690.0621,8974.022,1197.36,99.407,2309,1835,15,14.99,19.92,14.3,0.1,0.3,4,89.43,12.65916,-3.522073,-3594.237,-20.4217,467.1641,473.44,20585.6,0,0,0,0,0,0
2/13/2024,13:21:33,ZPc010,0,8,AFC2FF041FF----------1FF------,,468.8332,469.0542,-0.7026681,-0.7026681,11943.89,11944.69,640.0679,640.0679,1196.55,99.442,2384,1875,14.99,14.98,17.25,14.22,3.7,0.2,4,38.03,,,,,,468.4,12584.8,0,0,0,0,0,0
2/13/2024,13:36:40,MP_010,1,8,AFC2FF041FF----------1FF------,,468.956,468.8476,-0.7026681,-21.26735,12811.11,12787.22,640.0679,9444.408,1187.53,99.417,2389,1879,14.99,14.91,17.44,14.02,510.3,0.3,4,92.98,13.35773,-4.636498,-2880.995,24.53884,464.8493,448.26,21591.6,37.8,35,57.05,45.15,175,0
2/13/2024,13:53:31,MP_010,1,8,AFC2FF041FF----------1FF------,,469.4187,469.4014,-0.7026681,7.039282,13136.97,13131.26,640.0679,9101.354,1188.32,99.399,2397,1883,14.99,14.95,19.81,14.29,0.2,0.3,4,92.8,12.84576,-4.584318,-2802.109,-17.62895,470.7022,477.13,21592.6,0,0,0,0,0,0
2/13/2024,14:04:28,MP_010,1,8,AFC2FF041FF----------1FF------,,470.1799,470.3185,-0.7026681,-21.5092,13184.47,13181.91,640.0679,9060.377,1189.63,99.392,2398,1883,14.99,14.94,17.52,14.01,549.4,0.3,4,92.96,12.79777,-4.60704,-2777.871,25.18702,466.9734,449.54,21602.2,37.8,35,57.05,45.15,175,0
2/13/2024,14:23:36,MP_010,1,8,AFC2FF041FF----------1FF------,,470.7791,470.9639,-0.7026681,6.099934,13311.52,13303.63,640.0679,8935.086,1188.15,99.391,2406,1886,15,14.99,20.15,14.29,0.2,0.3,4,92.28,12.59159,-4.548988,-2767.998,-16.11898,472.0547,477.77,21598.7,0,0,0,0,0,0
2/13/2024,14:40:13,MP_010,1,8,AFC2FF041FF----------1FF------,,472.3775,472.4629,-0.7026681,-17.50723,13370.05,13367.9,640.0679,8915.391,1189.56,99.4,2411,1889,15,14.98,17.83,13.99,553.4,0.3,4,92.85,12.57719,-4.606882,-2730.087,19.25614,470.0256,455.7,21643.2,37.8,35,57.05,45.15,175,0
2/13/2024,14:56:57,MP_010,1,8,AFC2FF041FF----------1FF------,,473.7472,473.3271,-0.7026681,5.478654,13444.79,13441.51,640.0679,8900.408,1186.63,99.39,2417,1891,15,14.99,20.84,14.21,0.1,0.3,4,92.72,12.52422,-4.659929,-2687.641,-15.17312,474.0877,479.43,21701.9,0,0,0,0,0,0
2/13/2024,15:11:13,MP_010,1,8,AFC2FF041FF----------1FF------,,474.4983,474.322,-0.7026681,-16.91814,13395.9,13399.65,640.0679,8938.521,1188.17,99.392,2418,1893,14.99,14.96,17.86,13.97,493.7,0.3,4,92.83,12.59836,-4.681787,-2690.93,18.31218,472.1128,458.1,21698.1,37.8,35,57.05,45.15,175,0
2/13/2024,15:31:34,MP_010,1,8,AFC2FF041FF----------1FF------,,474.6661,474.4926,-0.7026681,4.988173,13482.93,13481.1,640.0679,8861.472,1186.59,99.411,2419,1893,14.99,14.98,20.27,14.22,0.2,0.5,4,92.59,12.46484,-4.667316,-2670.665,-14.42597,475.209,480.16,21702.5,0,0,0,0,0,0
2/13/2024,15:48:42,MP_010,1,8,AFC2FF041FF----------1FF------,,475.9882,475.6749,-0.7026681,-15.25603,13386.51,13388.46,640.0679,8945.631,1187.45,99.42,2421,1894,14.99,14.95,17.74,13.96,539.1,0.2,4,92.59,12.60143,-4.693254,-2685.01,15.79156,473.6701,461.07,21694,41.04,38,61.94,49.02,190,0
2/13/2024,16:15:11,MP_010,1,8,AFC2FF041FF----------1FF------,,476.7947,476.6192,-0.7026681,4.580602,13478.85,13474.91,640.0679,8827.252,1185.78,99.444,2421,1894,15,14.99,20.28,14.23,0.1,0.2,4,92.07,12.40398,-4.621337,-2684.067,-13.80842,477.3262,481.89,21662.1,0,0,0,0,0,0
2/13/2024,16:29:58,MP_010,1,8,AFC2FF041FF----------1FF------,,478.7416,478.2183,-0.7026681,-13.77073,13409.14,13413.27,640.0679,8958.974,1188.23,99.445,2422,1895,15,14.99,17.69,14,510.5,0.2,4,92.75,12.63043,-4.69519,-2690.079,13.5357,476.3727,465.08,21732.2,37.8,35,57.05,45.15,175,0
